number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.5123554585292043,2026-08-14 23:59:08.247827,2026-08-14 23:59:16.512376,0 days 00:00:08.264549,0.6624074561769746,0.17425083650459838,0.07441632389160634,8,3,300,1.1752647960576206,1.5930522616241019,0.8394633936788146,COMPLETE
1,0.5129745289929811,2026-08-14 23:59:16.514425,2026-08-14 23:59:19.014183,0 days 00:00:02.499758,0.6849356442713105,0.5502135295603015,0.17898794163735265,2,3,450,0.0026892128247368906,1.1207606211860568,0.9329770563201687,COMPLETE
2,0.520570558089324,2026-08-14 23:59:19.016188,2026-08-14 23:59:22.064318,0 days 00:00:03.048130,0.7168578594140873,1.3682099526511078,0.04777437867054351,4,6,300,0.48923586931905244,0.2508115686045233,0.6557975442608167,COMPLETE
3,0.5118958827984605,2026-08-14 23:59:22.069296,2026-08-14 23:59:28.612456,0 days 00:00:06.543160,0.6682096494749166,2.84665661176,0.005934530307791968,6,1,350,3.447275228705856,4.138040112561017,0.8430179407605753,COMPLETE
4,0.5158748602117794,2026-08-14 23:59:28.612456,2026-08-14 23:59:29.986677,0 days 00:00:01.374221,0.6488152939379115,0.10316556334565519,0.062395369491878315,2,8,250,1.8744302901656154,0.3292759134423616,0.7760609974958406,COMPLETE
5,0.5212272006216258,2026-08-14 23:59:29.988682,2026-08-14 23:59:34.134636,0 days 00:00:04.145954,0.6739417822102108,2.3253984700833437,0.03405259191324469,4,15,450,2.5982285195767814,6.161049539380966,0.8186841117373118,COMPLETE
6,0.5154417804082906,2026-08-14 23:59:34.148722,2026-08-14 23:59:43.884713,0 days 00:00:09.735991,0.6180909155642152,1.166031869068446,0.006930112765148064,8,5,400,0.001883913511943895,4.544383960336017,0.6783931449676581,COMPLETE
7,0.522327746315795,2026-08-14 23:59:43.889388,2026-08-14 23:59:45.900995,0 days 00:00:02.011607,0.9208787923016158,2.960660809801552,0.037017039861413845,3,2,250,0.425358393373768,0.24970737145052724,0.6563696899899051,COMPLETE
8,0.5207449624182261,2026-08-14 23:59:45.904538,2026-08-14 23:59:48.919995,0 days 00:00:03.015457,0.9085081386743783,1.0753971856328177,0.0678262606477337,7,2,100,0.0003503202443763074,5.323617594751501,0.8916028672163949,COMPLETE
9,0.47224838288827453,2026-08-14 23:59:48.922503,2026-08-14 23:59:51.214456,0 days 00:00:02.291953,0.7300733288106989,1.9126724140656393,0.006321123775566325,4,11,400,1.475659183168782,0.8798929749689022,0.7243929286862649,PRUNED
10,0.525439916346702,2026-08-14 23:59:51.218116,2026-08-15 00:00:00.138614,0 days 00:00:08.920498,0.9902173701155405,2.8838788402352065,0.018323378161082638,6,14,600,0.06109696181979329,0.12704933142213673,0.6071847502459279,COMPLETE
11,0.5259158300187439,2026-08-15 00:00:00.142543,2026-08-15 00:00:08.592325,0 days 00:00:08.449782,0.9964220890285002,2.9015810794413226,0.018023407613375005,6,15,600,0.08003495346586217,0.1022694504596177,0.6080614491166355,COMPLETE
12,0.527224017107448,2026-08-15 00:00:08.594364,2026-08-15 00:00:17.704692,0 days 00:00:09.110328,0.9988611203792774,2.3157720371402126,0.014676678174354847,6,15,600,0.028119721611052886,0.10144212945362599,0.6028431210352188,COMPLETE
13,0.52513673288189,2026-08-15 00:00:17.707706,2026-08-15 00:00:26.657263,0 days 00:00:08.949557,0.9943739103472049,2.201434230605962,0.015289815464199349,6,12,600,0.038628364857211384,0.10878882535224774,0.6007382874692011,COMPLETE
14,0.48157412704149005,2026-08-15 00:00:26.659268,2026-08-15 00:00:30.809356,0 days 00:00:04.150088,0.9122676071774374,2.4069756330804344,0.012423835336230385,5,13,550,0.03375289460126263,0.1653196770336106,0.9984067957444853,PRUNED
15,0.5224334388275128,2026-08-15 00:00:30.812368,2026-08-15 00:00:39.410177,0 days 00:00:08.597809,0.8561711433906496,1.773505039262342,0.021289733791021368,7,10,500,0.010715077849032863,0.4782887920359449,0.7195555244294134,COMPLETE
16,0.5258685408907972,2026-08-15 00:00:39.414714,2026-08-15 00:00:46.554079,0 days 00:00:07.139365,0.955362071534158,2.4833771389492623,0.010838096067031008,5,15,550,0.20449123108737627,0.10625721497327492,0.6010052986068815,COMPLETE
17,0.5230990921183231,2026-08-15 00:00:46.562369,2026-08-15 00:00:56.318333,0 days 00:00:09.755964,0.8412019684507217,1.8822594798449028,0.025799139769434164,7,13,600,0.0036637915613371972,0.18090993000031624,0.6994909350224618,COMPLETE
18,0.4838522120862725,2026-08-15 00:00:56.324665,2026-08-15 00:01:00.042427,0 days 00:00:03.717762,0.846130416676814,2.638406584443733,0.009831871212084644,5,10,500,0.09295778926920406,0.48664252677346914,0.6380707835736453,PRUNED
